x,y,type
12.493881225585938,-23.388572692871094,cone
19.407318115234375,-24.140424728393555,cone
25.58013153076172,-17.81853675842285,cone
14.572138786315918,-25.36081886291504,cone
8.190293312072754,-14.113757133483887,cone
17.929851531982422,-7.899232864379883,cone
5.442899703979492,-2.8129940032958984,cone
2.37896728515625,1.8622936010360718,cone
2.8456201553344727,-1.9625723361968994,cone
16.466989517211914,-13.329004287719727,cone
7.733273506164551,0.8472099900245667,cone
13.60273265838623,-2.9925456047058105,cone
10.847875595092773,-6.282071113586426,cone
13.853035926818848,-17.82978630065918,cone
8.787108421325684,-4.569532871246338,cone
14.493339538574219,-10.760233879089355,cone
19.791166305541992,-10.134218215942383,cone
11.176652908325195,-1.0505852699279785,cone
15.739557266235352,-5.234443664550781,cone
5.302065372467041,-13.033687591552734,cone
21.894899368286133,-11.971736907958984,cone
22.795305252075195,-16.400001525878906,cone
12.475111961364746,-8.11043930053711,cone
16.656490325927734,-22.45086097717285,cone
15.767829895019531,-20.449663162231445,cone
10.513689994812012,-20.960187911987305,cone
27.630878448486328,-14.401758193969727,cone
4.5828986167907715,-16.537534713745117,cone
1.540152907371521,-16.29366683959961,cone
11.546035766601562,-15.55949878692627,cone
24.58683967590332,-13.086198806762695,cone
18.949419021606445,-15.124571800231934,cone
2.033937454223633,-12.792497634887695,cone
17.03587532043457,-27.13711166381836,cone
28.65740966796875,-19.15700340270996,cone
30.844219207763672,-15.735315322875977,cone
22.273412704467773,-25.49558448791504,cone
34.37961196899414,-17.357074737548828,cone
32.1855583190918,-20.721397399902344,cone
25.787546157836914,-26.976749420166016,cone
37.139198303222656,-19.4709415435791,cone
23.279943466186523,-30.33837127685547,cone
28.55154800415039,-28.20100212097168,cone
35.572269439697266,-22.597694396972656,cone
32.57546615600586,-30.113685607910156,cone
26.628154754638672,-31.77197265625,cone
30.276784896850586,-32.8646125793457,cone
39.18928909301758,-23.924196243286133,cone
41.28748321533203,-20.375680923461914,cone
32.2482795715332,-34.424739837646484,cone
7.9916605949401855,-18.639934539794922,cone
42.14434814453125,-25.669668197631836,cone
35.25267028808594,-32.304622650146484,cone
32.903480529785156,-37.50096893310547,cone
44.99375915527344,-21.771984100341797,cone
37.3853759765625,-38.51510238647461,cone
32.23615646362305,-40.2609977722168,cone
46.11166000366211,-26.924524307250977,cone
37.4439697265625,-35.363624572753906,cone
48.07621765136719,-22.855731964111328,cone
51.370479583740234,-24.3317813873291,cone
49.41794967651367,-28.521615982055664,cone
30.813682556152344,-43.49114990234375,cone
20.143449783325195,-29.022886276245117,cone
36.028690338134766,-42.228675842285156,cone
55.17593765258789,-26.457252502441406,cone
52.82670593261719,-30.27447509765625,cone
28.579940795898438,-46.744789123535156,cone
55.05522537231445,-32.28955078125,cone
34.29762268066406,-45.96912384033203,cone
58.355308532714844,-28.779052734375,cone
56.11351776123047,-35.2532958984375,cone
56.26531982421875,-38.15732955932617,cone
50.11527633666992,-43.8089485168457,cone
54.861671447753906,-40.643985748291016,cone
60.91437530517578,-32.17461013793945,cone
52.585205078125,-42.418636322021484,cone
47.25731658935547,-45.19475555419922,cone
44.293434143066406,-47.869014739990234,cone
31.440092086791992,-49.5557746887207,cone
61.63496780395508,-34.736427307128906,cone
61.733856201171875,-37.55145263671875,cone
60.83594512939453,-40.70143508911133,cone
55.676361083984375,-45.63117218017578,cone
52.223228454589844,-47.129573822021484,cone
58.96352005004883,-43.16360855102539,cone
49.527122497558594,-48.59134292602539,cone
47.7255859375,-51.776123046875,cone
43.428836822509766,-51.016754150390625,cone
48.268287658691406,-53.47654724121094,cone
43.651153564453125,-53.5589599609375,cone
50.110321044921875,-55.55154800415039,cone
44.88801574707031,-55.896873474121094,cone
52.40504837036133,-57.894874572753906,cone
54.67300033569336,-60.83216094970703,cone
46.78170394897461,-58.45064926147461,cone
48.825286865234375,-60.74213790893555,cone
50.36920166015625,-62.50669479370117,cone
55.914703369140625,-64.23331451416016,cone
50.75739669799805,-64.02786254882812,cone
49.75931930541992,-65.16262817382812,cone
55.0390739440918,-67.41996002197266,cone
47.61613464355469,-65.56358337402344,cone
44.80550765991211,-65.59284973144531,cone
52.945640563964844,-69.1890869140625,cone
48.7962760925293,-70.17880249023438,cone
27.79070281982422,-53.12760925292969,cone
41.048187255859375,-65.606201171875,cone
37.74992370605469,-65.4722671508789,cone
44.83424377441406,-70.01262664794922,cone
34.62590026855469,-65.49003601074219,cone
25.483657836914062,-50.25456237792969,cone
41.09222412109375,-70.03721618652344,cone
37.96070098876953,-69.8530502319336,cone
24.011547088623047,-55.939823150634766,cone
34.6798210144043,-69.68467712402344,cone
31.828407287597656,-65.43055725097656,cone
22.03020668029785,-52.71057891845703,cone
28.59930992126465,-65.4452133178711,cone
31.753524780273438,-69.62252807617188,cone
28.535625457763672,-69.12980651855469,cone
20.56825828552246,-58.583946228027344,cone
24.6320743560791,-65.72864532470703,cone
18.81370735168457,-54.55820083618164,cone
24.812034606933594,-69.62057495117188,cone
21.001081466674805,-66.94363403320312,cone
18.164758682250977,-60.54646301269531,cone
16.63157844543457,-63.701171875,cone
21.608722686767578,-70.97794342041016,cone
19.069515228271484,-67.12035369873047,cone
17.34792137145996,-65.7507553100586,cone
18.02482032775879,-70.96991729736328,cone
15.016447067260742,-57.138702392578125,cone
12.923238754272461,-67.3272933959961,cone
15.148868560791016,-69.69388580322266,cone
12.084272384643555,-63.694515228271484,cone
12.97041130065918,-60.12001037597656,cone
-1.46799898147583,-15.920990943908691,cone
-1.223305583000183,-12.08612060546875,cone
-3.643883466720581,-11.96802043914795,cone
-8.830475807189941,-14.729111671447754,cone
-5.262423515319824,-15.67320728302002,cone
-6.667352676391602,-4.999968528747559,cone
-0.9191460609436035,-1.604775309562683,cone
-10.459961891174316,-12.643235206604004,cone
-2.5150792598724365,-1.6282695531845093,cone
-7.4402947425842285,-9.297723770141602,cone
-6.102912902832031,-10.87408447265625,cone
1.0303752422332764,-1.6734315156936646,cone
-0.828236997127533,1.9946728944778442,cone
-11.490184783935547,-10.051156044006348,cone
-7.567302703857422,-7.693576812744141,cone
-5.0367207527160645,-2.7160799503326416,cone
5.4257917404174805,1.5639499425888062,cone
-3.748668909072876,2.0790445804595947,cone
-11.699320793151855,-6.42690372467041,cone
-9.650044441223145,-0.17420148849487305,cone
-6.33284854888916,2.014197826385498,cone
-10.778848648071289,-3.0677969455718994,cone
2.6122937202453613,-0.05013936758041382,start

