timestamp_ns,imu_ang_vel_x,imu_ang_vel_y,imu_ang_vel_z,imu_lin_acc_x,imu_lin_acc_y,imu_lin_acc_z,gps_lat,gps_lon,gps_alt,gps_vel_x,gps_vel_y,gps_vel_z
1772180345038439000,-0.0003577917523216456,5.34841965418309e-05,2.6714358682511374e-05,-0.07387889921665192,-0.007006864529103041,-9.856725692749023,47.64146799957688,-122.14016500049779,122.24617767333984,0.0,-0.0,0.0
1772180345049258000,-0.0010907516116276383,0.0006299121887423098,-0.00039433923666365445,0.020124729722738266,0.03896608203649521,-9.808176040649414,47.64146799957688,-122.14016500049779,122.24617767333984,0.0,-0.0,0.0
1772180345082425000,0.0004841779882553965,0.000797904678620398,0.0008201415184885263,-0.004707006271928549,-0.005102857947349548,-9.787043571472168,47.64146799957688,-122.14016500049779,122.24617767333984,0.0,-0.0,0.0
1772180345105820000,0.00032039263169281185,-0.0005337038310244679,-0.0003732057230081409,-0.0011686263605952263,-0.02169574238359928,-9.81745719909668,47.64146799957688,-122.14016500049779,122.24617767333984,0.0,-0.0,0.0
1772180345125177000,0.00035478518111631274,-8.373114542337134e-05,0.00030310102738440037,-0.00124002480879426,-0.011806461028754711,-9.800308227539062,47.64146799957688,-122.14016500049779,122.24617767333984,0.0,-0.0,0.0
1772180345144191000,0.0005528339534066617,0.0012034567771479487,-0.0007910524145700037,0.016615621745586395,0.03502579405903816,-9.812214851379395,47.64146799957688,-122.14016500049779,122.24617767333984,0.0,-0.0,0.0
1772180345156355000,0.0006221358780749142,-0.0010749027132987976,-0.0005567842745222151,-0.0011762336362153292,-0.025329625234007835,-9.774295806884766,47.64146799957688,-122.14016500049779,122.24617767333984,0.0,-0.0,0.0
1772180345184162000,1.7313126591034234e-05,0.0007891712011769414,0.0007116937777027488,0.013251828029751778,0.01930207386612892,-9.792681694030762,47.64146799957688,-122.14016500049779,122.24617767333984,0.0,-0.0,0.0
1772180345207482000,0.0007452977588400245,-0.00018921114678960294,-0.00023058491933625191,0.01599665731191635,-0.02924833819270134,-9.776180267333984,47.64146799957688,-122.14016500049779,122.24617767333984,0.0,-0.0,0.0
1772180345219360000,0.00019057962344959378,-0.0007822185871191323,0.0006850782665424049,0.028588827699422836,-0.005971296690404415,-9.835746765136719,47.64146799957688,-122.14016500049779,122.24617767333984,0.0,-0.0,0.0
1772180345243735000,0.00017034716438502073,0.00038264947943389416,-0.0008560806745663285,-0.013260537758469582,-0.015852991491556168,-9.78172492980957,47.64146799957688,-122.14016500049779,122.24617767333984,0.0,-0.0,0.0
1772180345266233000,0.0002269519172841683,0.0013650415930896997,0.0014840862713754177,-0.04215582087635994,-0.004541107919067144,-9.81912899017334,47.64146799957688,-122.14016500049779,122.24617767333984,0.0,-0.0,0.0
1772180345279053000,-0.0003615697205532342,7.766500493744388e-05,1.2545713616418652e-05,-0.027970217168331146,0.039983004331588745,-9.789602279663086,47.64146799957688,-122.14016500049779,122.24617767333984,0.0,-0.0,0.0
1772180345305073000,-0.001170592149719596,9.806234447751194e-05,-0.0010934066958725452,-0.02376502752304077,-0.005604688543826342,-9.80249309539795,47.64146799957688,-122.14016500049779,122.24617767333984,0.0,-0.0,0.0
1772180345317642000,-0.0007996773929335177,-0.0005675058346241713,-0.0003941040486097336,0.042447783052921295,-0.00027514761313796043,-9.783307075500488,47.64146799957688,-122.14016500049779,122.24617767333984,0.0,-0.0,0.0
1772180345345228000,-0.0005347618134692311,0.000945504754781723,0.0010600556852295995,0.005246862303465605,0.01960151270031929,-9.771312713623047,47.64146799957688,-122.14016500049779,122.24617767333984,0.0,-0.0,0.0
